region_name;year;criminality;salary;unemployee
Республика Алтай;2013;2,143188906;20721,9;5,450865901
Республика Алтай;2014;2,044443609;22598;4,801715301
Республика Алтай;2015;2,480051858;22903;4,513339956
Республика Алтай;2016;2,236167416;25083;5,497861943
Республика Алтай;2017;2,128852828;26316;5,409704186
Республика Алтай;2018;2,10652556;30953;4,94040208
Республика Алтай;2019;1,944206556;33387;4,768499116
Республика Башкортостан;2010;1,776201596;16377,7;4,469531228
Республика Башкортостан;2011;1,683092992;18397;3,899964726
Республика Башкортостан;2012;1,610249197;20264,7;3,048441134
Республика Башкортостан;2013;1,288408042;22377,4;2,852439668
Республика Башкортостан;2014;1,304668986;24988;2,576838545
Республика Башкортостан;2015;1,742295577;25928;3,02780899
Республика Башкортостан;2016;1,605866575;28108;2,850196288
Республика Башкортостан;2017;1,500467881;30358;2,74254317
Республика Башкортостан;2018;1,415477079;33753;2,366489958
Республика Башкортостан;2019;1,368424592;36465;2,071687083
Республика Бурятия;2010;2,731198925;17999,7;5,083058943
Республика Бурятия;2011;2,484600562;19924;4,284358453
Республика Бурятия;2012;2,41941128;23100,7;3,755146151
Республика Бурятия;2013;2,4428603;26037,7;3,803214317
Республика Бурятия;2014;2,519215265;27739;3,942010517
Республика Бурятия;2015;2,83530313;28386;4,322365918
Республика Бурятия;2016;2,387996855;29969;4,424695055
Республика Бурятия;2017;2,398605334;32237;4,303876171
Республика Бурятия;2018;2,389593969;35779;4,285840606
Республика Бурятия;2019;2,247705677;39673;4,048429622
Республика Дагестан;2010;0,402561871;10243,5;6,519392657
Республика Дагестан;2011;0,429452429;11235,8;5,891745137
Республика Дагестан;2012;0,464461402;13659,6;5,285439389
Республика Дагестан;2013;0,473878637;16834,7;5,16948361
Республика Дагестан;2014;0,464102509;18194;4,540257374
Республика Дагестан;2015;0,503826987;19239;4,672570733
Республика Дагестан;2016;0,521992353;20629;4,825804449
Республика Дагестан;2017;0,47849711;21941;5,351614142
Республика Дагестан;2018;0,481592556;25155;5,203697164
Республика Дагестан;2019;0,439794584;26835;5,786911827
Республика Ингушетия;2010;0,466198209;12855,3;21,54678079
Республика Ингушетия;2011;0,457505047;14513,2;21,75267272
Республика Ингушетия;2012;0,410198591;18301,5;22,06501762
Республика Ингушетия;2013;0,390722737;20150,9;19,59511384
Республика Ингушетия;2014;0,354018205;20993;13,77769925
Республика Ингушетия;2015;0,368967446;21481;14,55158071
Республика Ингушетия;2016;0,375558092;22488;14,65431871
Республика Ингушетия;2017;0,331640713;22750;13,95286407
Республика Ингушетия;2018;0,335892612;25367;13,45011437
Республика Ингушетия;2019;0,358404384;27410;13,57237578
Республика Калмыкия;2010;1,400689975;11601;7,593523364
Республика Калмыкия;2011;1,320032245;12559,1;7,359379561
Республика Калмыкия;2012;1,310722982;15040,7;6,675542631
Республика Калмыкия;2013;1,220145471;17470,8;6,2593392
Республика Калмыкия;2014;1,029179643;19341;5,688039475
Республика Калмыкия;2015;1,134636634;20109;5,511909572
Республика Калмыкия;2016;1,06048845;21318;5,515186798
Республика Калмыкия;2017;1,094693916;22919;5,038194984
Республика Калмыкия;2018;1,003178496;26049;4,876126249
Республика Калмыкия;2019;1,028721068;28617;4,504746387
Республика Карелия;2010;2,129327035;20056;5,031363742
Республика Карелия;2011;2,223885951;22173,9;4,431550544
Республика Карелия;2012;1,798820944;24795,8;3,615344967
Республика Карелия;2013;1,744312265;27503,3;4,246412424
Республика Карелия;2014;1,997733114;29371;4,168166348
Республика Карелия;2015;2,486993112;30704;4,550034537
Республика Карелия;2016;2,142318426;33061;4,802554743
Республика Карелия;2017;1,807507567;34434;4,384242209
Республика Карелия;2018;1,927228348;39402;4,358915245
Республика Карелия;2019;2,00208097;42964;3,675459656
Республика Коми;2010;2,176027915;26139,8;5,750694295
Республика Коми;2011;1,928060224;28897,3;4,582426894
Республика Коми;2012;1,986021822;33971,4;3,55272091
Республика Коми;2013;2,248994976;37716,8;4,029910526
Республика Коми;2014;2,387591435;40222;3,306923554
Республика Коми;2015;2,780066161;41365;3,856025897
Республика Коми;2016;2,230898263;43662;4,737422864
Республика Коми;2017;2,037691318;45689;4,113220576
Республика Коми;2018;2,002745487;50413;3,830397354
Республика Коми;2019;2,057907344;53416;3,520796556
Республика Крым;2010;1,179988157;27026,6;3,084315895
Республика Крым;2011;1,179988157;27026,6;3,084315895
Республика Крым;2012;1,179988157;27026,6;3,084315895
Республика Крым;2013;1,179988157;27026,6;3,084315895
Республика Крым;2014;0,968334383;27026,6;3,084315895
Республика Крым;2015;1,464203994;22440;3,640999184
Республика Крым;2016;1,243534766;24140;3,232237331
Республика Крым;2017;1,13494864;26165;3,05151729
Республика Крым;2018;1,171805361;29640;2,810837657
Республика Крым;2019;1,097101798;32748;2,685988014
Республика Марий Эл;2010;1,78224494;12650,6;5,644827117
Республика Марий Эл;2011;1,56234239;14001,2;5,415169218
Республика Марий Эл;2012;1,373318426;16023;3,435393287
Республика Марий Эл;2013;1,196199659;18359,7;2,777596491
Республика Марий Эл;2014;1,07824899;20473;2,511844897
Республика Марий Эл;2015;1,217505279;21947;2,773756645
Республика Марий Эл;2016;1,052716063;23305;3,109992339
Республика Марий Эл;2017;1,075627498;25440;3,111887498
Республика Марий Эл;2018;1,124815808;28143;2,440574384
Республика Марий Эл;2019;1,14046351;30152;2,261953614
Республика Мордовия;2010;1,019224514;11883,1;2,991901691
Республика Мордовия;2011;0,936507515;13305,1;2,91876367
Республика Мордовия;2012;0,949623484;15186,6;2,725635941
Республика Мордовия;2013;1,031446232;18100,7;2,477923862
